"Id","Value"
"660000","Helm of Artorias"
"660001","Helm of Artorias+1"
"660002","Helm of Artorias+2"
"660003","Helm of Artorias+3"
"660004","Helm of Artorias+4"
"660005","Helm of Artorias+5"
"661000","Armor of Artorias"
"661001","Armor of Artorias+1"
"661002","Armor of Artorias+2"
"661003","Armor of Artorias+3"
"661004","Armor of Artorias+4"
"661005","Armor of Artorias+5"
"662000","Gauntlets of Artorias"
"662001","Gauntlets of Artorias+1"
"662002","Gauntlets of Artorias+2"
"662003","Gauntlets of Artorias+3"
"662004","Gauntlets of Artorias+4"
"662005","Gauntlets of Artorias+5"
"663000","Leggings of Artorias"
"663001","Leggings of Artorias+1"
"663002","Leggings of Artorias+2"
"663003","Leggings of Artorias+3"
"663004","Leggings of Artorias+4"
"663005","Leggings of Artorias+5"
"670000","Porcelain Mask"
"670001","Porcelain Mask+1"
"670002","Porcelain Mask+2"
"670003","Porcelain Mask+3"
"670004","Porcelain Mask+4"
"670005","Porcelain Mask+5"
"671000","Lord's Blade Robe"
"671001","Lord's Blade Robe+1"
"671002","Lord's Blade Robe+2"
"671003","Lord's Blade Robe+3"
"671004","Lord's Blade Robe+4"
"671005","Lord's Blade Robe+5"
"672000","Lord's Blade Gloves"
"672001","Lord's Blade Gloves+1"
"672002","Lord's Blade Gloves+2"
"672003","Lord's Blade Gloves+3"
"672004","Lord's Blade Gloves+4"
"672005","Lord's Blade Gloves+5"
"673000","Lord's Blade Waistcloth"
"673001","Lord's Blade Waistcloth+1"
"673002","Lord's Blade Waistcloth+2"
"673003","Lord's Blade Waistcloth+3"
"673004","Lord's Blade Waistcloth+4"
"673005","Lord's Blade Waistcloth+5"
"680000","Gough's Helm"
"680001","Gough's Helm+1"
"680002","Gough's Helm+2"
"680003","Gough's Helm+3"
"680004","Gough's Helm+4"
"680005","Gough's Helm+5"
"681000","Gough's Armor"
"681001","Gough's Armor+1"
"681002","Gough's Armor+2"
"681003","Gough's Armor+3"
"681004","Gough's Armor+4"
"681005","Gough's Armor+5"
"682000","Gough's Gauntlets"
"682001","Gough's Gauntlets+1"
"682002","Gough's Gauntlets+2"
"682003","Gough's Gauntlets+3"
"682004","Gough's Gauntlets+4"
"682005","Gough's Gauntlets+5"
"683000","Gough's Leggings"
"683001","Gough's Leggings+1"
"683002","Gough's Leggings+2"
"683003","Gough's Leggings+3"
"683004","Gough's Leggings+4"
"683005","Gough's Leggings+5"
"690000","Guardian Helm"
"691000","Guardian Armor"
"692000","Guardian Gauntlets"
"693000","Guardian Leggings"
"700000","Snickering Top Hat"
"700001","Snickering Top Hat+1"
"700002","Snickering Top Hat+2"
"700003","Snickering Top Hat+3"
"700004","Snickering Top Hat+4"
"700005","Snickering Top Hat+5"
"701000","Chester's Long Coat"
"701001","Chester's Long Coat+1"
"701002","Chester's Long Coat+2"
"701003","Chester's Long Coat+3"
"701004","Chester's Long Coat+4"
"701005","Chester's Long Coat+5"
"702000","Chester's Gloves"
"702001","Chester's Gloves+1"
"702002","Chester's Gloves+2"
"702003","Chester's Gloves+3"
"702004","Chester's Gloves+4"
"702005","Chester's Gloves+5"
"703000","Chester's Trousers"
"703001","Chester's Trousers+1"
"703002","Chester's Trousers+2"
"703003","Chester's Trousers+3"
"703004","Chester's Trousers+4"
"703005","Chester's Trousers+5"
"710000","Bloated Head"
"720000","Bloated Sorcerer Head"
