WanderingEquipId,OldSortId,EquipModelId,SellValue,BasicPrice,EnglishName,Durability,FixPrice,DurabilityMax,Name,VagrantItemEneDropItemLotId,Weight,TranslatedName,Id,VagrantBonusEneDropItemLotId,VagrantItemLotId,SortId,EquipModelCategory,EquipModelGender,ProtectorCategory,HeadEquip,BodyEquip,ArmEquip,LegEquip,DefenseMaterial,DefenseMaterialSfx,IconIdM,IconIdF,PartsDmgType,PartsDamageRate,DefenseMaterial_Weak,DefenseMaterialSfx_Weak,KnockBack,KnockbackBounceRate,KnockbackParamId,SaDurability,CorectSARecover,DefFlickPower,FlickDamageCutRate,Set,DefensePhysics,DefenseBlow,DefenseSlash,DefenseThrust,DefenseMagic,DefenseFire,DefenseThunder,ResistBlood,ResistPoison,ResistCurse,Poise,ResidentSpEffectId,ResidentSpEffectId2,ResidentSpEffectId3,TrophySGradeId,IsDeposit,DisableMultiDropShare,SimpleModelForDlc,MaterialSetId,ReinforceTypeId,OriginEquipPro,OriginEquipPro1,OriginEquipPro2,OriginEquipPro3,OriginEquipPro4,OriginEquipPro5,OriginEquipPro6,OriginEquipPro7,OriginEquipPro8,OriginEquipPro9,OriginEquipPro10,OriginEquipPro11,OriginEquipPro12,OriginEquipPro13,OriginEquipPro14,OriginEquipPro15,UseFaceScale,InvisibleFlag00,InvisibleFlag01,InvisibleFlag02,InvisibleFlag03,InvisibleFlag04,InvisibleFlag05,InvisibleFlag06,InvisibleFlag07,InvisibleFlag08,InvisibleFlag09,InvisibleFlag10,InvisibleFlag11,InvisibleFlag12,InvisibleFlag13,InvisibleFlag14,InvisibleFlag15,InvisibleFlag16,InvisibleFlag17,InvisibleFlag18,InvisibleFlag19,InvisibleFlag20,InvisibleFlag21,InvisibleFlag22,InvisibleFlag23,InvisibleFlag24,InvisibleFlag25,InvisibleFlag26,InvisibleFlag27,InvisibleFlag28,InvisibleFlag29,InvisibleFlag30,InvisibleFlag31,InvisibleFlag32,InvisibleFlag33,InvisibleFlag34,InvisibleFlag35,InvisibleFlag36,InvisibleFlag37,InvisibleFlag38,InvisibleFlag39,InvisibleFlag40,InvisibleFlag41,InvisibleFlag42,InvisibleFlag43,InvisibleFlag44,InvisibleFlag45,InvisibleFlag46,InvisibleFlag47,FaceScaleM_ScaleX,FaceScaleM_ScaleZ,FaceScaleM_MaxX,FaceScaleM_MaxZ,FaceScaleF_ScaleX,FaceScaleF_ScaleZ,FaceScaleF_MaxX,FaceScaleF_MaxZ,QwcId,ShopLv
950000,32,1000,100,200,Catarina Helm,100,2000,100,???????,101320,4.5,,10000,101310,101300,72,255,255,1,FALSE,FALSE,TRUE,TRUE,0,5,1000,1000,0,1.1,0,56,0,0,255,400,-0.1,400,255,Catarina,22,21.8,25.3,22,12,13,7,13,9,0,8,6200,6300,-1,0,FALSE,FALSE,FALSE,7100,13,10000,10000,10000,10000,10000,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0,1.1,1,0.5,0,1.1,1,-1,100
951000,10437,1000,100,200,Catarina Armor,100,2000,100,????????,101320,11.7,,11000,101310,101300,73,255,255,1,FALSE,FALSE,TRUE,TRUE,0,2,1001,1001,0,1,1,56,0,0,255,400,-0.1,400,255,Catarina,57,56.4,65.5,57,31,37,19,34,24,0,21,6210,6300,-1,0,FALSE,TRUE,FALSE,7100,34,11000,11000,11000,11000,11000,11000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,1,1,1,-1,100
952000,0,1000,100,200,Catarina Gauntlets,100,2000,100,??????????,101320,6.9,,12000,101310,101300,74,255,255,1,FALSE,FALSE,TRUE,TRUE,0,1,1002,1002,0,1.1,2,56,0,0,255,400,-0.1,400,255,Catarina,34,33.7,39.1,34,18,21,12,21,13,0,13,6220,6300,-1,0,FALSE,FALSE,FALSE,7100,21,12000,12000,12000,12000,12000,12000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,1,1,1,-1,100
953000,512,1000,100,200,Catarina Leggings,100,2000,100,????????,101320,6.9,,13000,101310,101300,75,255,255,1,FALSE,FALSE,TRUE,TRUE,0,6,1003,1003,3,1.1,3,56,0,0,255,400,-0.1,400,255,Catarina,34,33.7,39.1,34,18,21,12,21,13,0,13,6230,6300,-1,0,FALSE,FALSE,FALSE,7100,21,13000,13000,13000,13000,13000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,1,1,1,-1,100
950000,32,8200,100,200,Paladin Helm,100,4000,100,???????,101320,5,,20000,101310,101300,215,255,255,1,FALSE,FALSE,TRUE,TRUE,0,5,1004,1004,0,1.1,0,57,0,0,255,500,-0.1,500,255,Paladin,22,20.9,25.3,22,12,13,7,13,9,22,8,6200,6300,-1,22,FALSE,FALSE,FALSE,7100,13,20000,20000,20000,20000,20000,20000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,1,1,1,1,1,1,1,-1,100
951000,-5951,8200,100,200,Paladin Armor,100,4000,100,???????,101320,12.9,,21000,101310,101300,216,255,255,1,FALSE,FALSE,TRUE,TRUE,0,2,1005,1005,0,1,1,57,0,0,255,500,-0.1,500,255,Paladin,59,56.1,67.9,59,31,37,19,34,24,57,20,6210,6300,-1,57,FALSE,TRUE,FALSE,7100,34,21000,21000,21000,21000,21000,21000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,1,0,0,1,1,-1,100
952000,0,8200,100,200,Paladin Gauntlets,100,4000,100,????????,101320,7.6,,22000,101310,101300,217,255,255,1,FALSE,FALSE,TRUE,TRUE,0,1,1006,1006,0,1.1,2,57,0,0,255,500,-0.1,500,255,Paladin,35,33.2,40.2,35,19,21,12,21,13,34,12,6220,6300,-1,34,FALSE,FALSE,FALSE,7100,21,22000,22000,22000,22000,22000,22000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,0,0,1,1,-1,100
953000,1024,8200,100,200,Paladin Leggings,100,4000,100,????????,101320,7.6,,23000,101310,101300,218,255,255,1,FALSE,FALSE,TRUE,TRUE,0,6,1007,1007,3,1.1,3,57,0,0,255,500,-0.1,500,255,Paladin,35,33.2,40.2,35,19,21,12,21,13,34,12,6230,6300,-1,34,FALSE,FALSE,FALSE,7100,21,23000,23000,23000,23000,23000,23000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,0,0,1,1,-1,100
950000,16,9310,100,200,Dark Mask,100,1200,100,????,101320,3.8,,40000,101310,101300,203,255,255,1,FALSE,FALSE,TRUE,TRUE,0,5,1012,1012,0,1.3,0,56,0,0,255,300,-0.1,300,255,Dark,18,18,19.8,16.9,12,12,10,12,8,0,6,-1,6300,-1,0,FALSE,FALSE,FALSE,7100,12,40000,40000,40000,40000,40000,40000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,1,1.22,1.22,1,1,1.22,1.22,-1,100
951000,26817,9310,100,200,Dark Armor,100,1200,100,???,101320,9.8,,41000,101310,101300,204,255,255,1,FALSE,FALSE,TRUE,TRUE,0,2,1013,1013,0,1,1,56,0,0,255,300,-0.1,300,255,Dark,45,45,49.5,42.3,30,31,27,30,21,0,16,-1,6300,-1,0,FALSE,TRUE,FALSE,7100,30,41000,41000,41000,41000,41000,41000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,0,0,1,1,-1,100
