"SellValue","SortId","VagrantItemLotId","BasicPrice","EnglishName","EnglishDescription","EnglishEffects","Id","Name","TranslatedName","Weight","VagrantBonusEneDropItemLotId","VagrantItemEneDropItemLotId","IconId","ItemType","RefCategory","RefId","SfxVariationId","SpEffectCategory","MaxStack","OverDexterity","GoodsCategory","GoodsUseAnim","BehaviorId","UseLimitCategory","Enable_live","Enable_gray","Enable_white","Enable_black","Enable_multi","Disable_offline","IsEquip","IsConsume","IsAutoEquip","IsEstablishment","IsOnlyOne","IsDrop","DisableMultiDropShare","DisableUseAtOutOfColiseum","DisableUseAtColiseum","IsDisableHand","IsFixItem","IsTravelItem","IsSuppleItem","IsFullSuppleItem","ReplaceItemId","CompTrophySedId","TrophySeqId","IsEnhance","UseMenu","YesNoDialogMessageId","IsDeposit","MagicId","ReplaceCategory","VowType0","VowType1","VowType2","VowType3","VowType4","VowType5","VowType6","VowType7","VowType8","VowType9","VowType10","VowType11","VowType12","VowType13","VowType14","VowType15","Pad"
"-1","18","-1","0","White Sign Soapstone","Online play item.\nLeave summon sign.\n\nBe summoned to another world as a phantom\nthrough your sign, and defeat the area boss\nto acquire humanity.\nIn Lordran, the flow of time is distorted,\nand the White Sign Soapstone allows\nUndead to assist one another.","Leave summon sign","100","白チョーク","","0","-1","-1","2000","General","2","4","80","0","1","50","0","6","0","0","True","True","False","False","False","True","True","False","True","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","None","0","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
"-1","20","-1","0","Red Sign Soapstone","Online play item.\nLeave invasion sign.\n\nBe summoned to another world as a dark\nspirit, and defeat the summoner to acquire\nhumanity.\nCertain Darkwraiths resist their descent into\ndark and persevere along the honorable path.\nThe Red Sign Soapstone is for them.","Leave invasion sign","101","紫チョーク","","0","-1","-1","2001","General","2","10","81","0","1","50","0","6","0","0","True","False","False","False","False","True","True","False","True","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","None","0","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
"-1","21","-1","0","Red Eye Orb","Online play item.\nInvade another world.\n\nDefeat the master of the world you have\ninvaded to acquire humanity.\n\nThe Darkwraiths of Kaathe use this orb to\nseek humanity and plunge further into dark.\nPerhaps they are more human than we?","Invade another world","102","赤い瞳","","0","-1","-1","2002","General","2","11","82","0","1","50","0","6","0","0","True","False","False","False","False","True","True","False","True","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","1","20000440","False","-1","0","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","System.Byte[]"
"-1","31","-1","0","Black Separation Crystal","This black crystal, long a symbol of\nfarewell, is granted to banished Undead.\nThe crystal sends phantoms back to their\nhomes, or sends you back to yours.\n\nBeware of fickle use of this item if you\nintend to nurture relations.","Banish phantom/return home","103","黒水晶","","0","-1","-1","2003","General","2","7","83","0","1","50","0","13","0","0","True","True","True","True","True","False","True","False","False","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","4","20000432","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
"-1","17","-1","0","Orange Guidance Soapstone","Online play item.\nWrite/view/rate message.\n\nMessages transmit to other worlds, where they\nare rated. Also, rate messages of others.\n\nIn Lordran, the flow of time is distorted,\nand messages allow Undead to assist\n(or deceive) one another.","Write/view/rate message","106","橙チョーク","","0","-1","-1","2082","General","0","-1","84","0","1","50","0","8","0","0","True","True","True","True","True","True","True","False","True","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","6","0","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
"-1","33","-1","0","Book of the Guilty","Online play item.\nCheck list of indicted players.\n\nThe Goddess of Sin Velka oversees this list\nof the guilty, who have disrespected the Gods\nor their covenants, and shall one day face\nthe wrath of the Blades of the Darkmoon.","Check list of indicted players","108","ランキング閲覧Ａ","","0","-1","-1","2009","General","0","-1","-1","0","1","50","0","8","0","0","True","True","False","False","False","True","True","False","True","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","7","0","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
"500","30","100300","0","Eye of Death","Online play item.\nLure phantoms from other worlds.\n\nThe dreadful Eyes of Death spread disaster\nacross neighboring worlds. Phantoms lured\nto the host world may end up as victims,\nallowing the Eyes of Death to multiply,\nand leading to further proliferation of bane.","Lure phantoms from other worlds","109","墓王の瞳","","0","100310","100320","2087","General","2","16","87","0","99","50","0","6","0","0","True","False","False","False","False","True","True","True","True","False","False","True","False","False","True","False","False","False","False","False","-1","-1","-1","False","1","20000441","False","-1","0","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","System.Byte[]"
"500","22","-1","0","Cracked Red Eye Orb","Online play item.\nInvade another world.\n\nDefeat the master of the world you have\ninvaded to acquire humanity.\n\nThe Cracked Red Eye Orb allows players to\ntemporarily imitate this ability normally\nlimited to the Darkwraiths of Kaathe.","Invade another world","111","ひび割れた赤い瞳","","0","-1","-1","2006","General","2","11","82","0","99","50","0","6","0","0","True","False","False","False","False","True","True","True","True","False","False","True","False","False","True","False","False","False","False","False","-1","-1","-1","False","1","20000440","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
"-1","35","-1","0","Servant Roster","Online play item.\nCheck servants of the Daughters of Chaos.\n\nEgg-bearer Eingyi keeps this roster of those\nwho serve his master, a Daughter of Chaos.\nEingyi praises those who offer significant\nhumanity to alleviate his master's suffering.\n\nBut what is praise from Eingyi really worth?","Check servants of the Daughters of Chaos","112","ランキング閲覧Ｂ","","0","-1","-1","2007","General","0","-1","-1","0","1","50","0","6","0","0","True","True","False","False","False","True","True","False","True","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","8","0","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
"-1","23","-1","0","Blue Eye Orb","Online play item.\nInvade world of player in Book of the Guilty.\nSubdue player to acquire Souvenir of Reprisal.\n\nThese mystical orbs are granted to\nBlades of the Darkmoon, knights who serve\nthe Dark Sun Gwyndolin, so that they may\nserve the Gods in meting out vengeance.","Invade world of guilty player","113","青い瞳","","0","-1","-1","2010","General","2","26","86","0","1","50","0","6","0","0","True","True","False","False","False","True","True","False","True","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","1","20000442","False","-1","0","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","System.Byte[]"
"-1","27","-1","0","Dragon Eye","Online play item.\nFind a player who has acquired a Dragon Scale\nand invade that player's world to pillage it.\n\nAn art of the transcendent apostles who pray\nto the ancient dragons. To be alive is to be\nvulnerable, and the fiery Gods are no\nexception. The apostles seek another plane\nof existence, which transcends life.","Invade world of possessor of Dragon Scale","114","竜の瞳","","0","-1","-1","2011","General","2","27","88","0","1","50","0","6","0","0","True","True","False","False","False","True","True","False","True","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","1","20000443","False","-1","0","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","System.Byte[]"
"-1","25","-1","0","Black Eye Orb","Mystical orb found on a Keeper's corpse\n\nInvade the world of the murderer of a \nFire Keeper, to defeat the perpetrator and\nreclaim the soul of the Fire Keeper.\n\nThe Black Eye keeps constant watch on the\ncity of the Gods, Anor Londo.","Invade world of murderer of Fire Keeper","115","NPC侵入アイテムA","","0","-1","-1","2132","General","2","15","86","0","1","50","0","6","0","0","True","True","False","False","False","False","True","False","True","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","1","20000500","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
"-1","26","-1","0","Black Eye Orb","Invade the world of the traitor Shiva.\n\nInvade the world of Shiva, and subdue him\nto reclaim the Blade of Chaos.\n\nBut the Black Eye has lost its focus,\nand its powers waver timorously.\nWhere could the traitor Shiva be?","Invade world of traitor Shiva","116","NPC侵入アイテムB","","0","-1","-1","2144","General","2","15","86","0","1","50","0","6","0","0","True","True","False","False","False","False","True","False","True","False","True","False","False","False","True","False","False","False","False","False","-1","-1","-1","False","1","20000501","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
"-1","110","-1","0","Darksign","The Darksign signifies an accursed Undead.\nThose branded with it are reborn after\ndeath, but will one day lose their mind\nand go Hollow.\n\nDeath triggers the Darksign, which returns\nits bearer to the last bonfire rested at,\nbut at the cost of all humanity and souls.","Lose humanity and souls, and return to bonfire","117","ダークリング","","0","-1","-1","2145","General","2","3226","33","0","1","50","0","6","0","0","True","True","False","False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","-1","-1","-1","False","1","10010711","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
"-1","32","-1","0","","","","118","【DLC】臆病者の紫水晶","","0","-1","-1","2148","General","2","17","92","0","1","50","0","15","0","0","True","True","True","True","True","True","True","False","False","False","True","False","False","True","False","False","False","False","False","False","-1","-1","-1","False","1","20000436","True","-1","0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","System.Byte[]"
