"Id","TranslatedName","Name","VariationId","BehaviorJudgeId","EzStateBehaviorType_old","RefType","RefId","SfxVariationId","Category","Stamina","Mp","HeroPoint"
"0","","テスト用","0","0","0","0","0","-1","0","0","0","0"
"10","","PC_共通_卵攻撃","0","0","0","0","10","-1","5","20","0","0"
"100","","PC_共通_落下","0","0","0","0","100","-1","0","0","0","0"
"400","","共通攻撃【落下】_攻撃防具","0","0","0","0","200","0","9","0","0","0"
"401","","共通攻撃【着地】_攻撃防具","0","0","0","0","201","0","9","0","0","0"
"402","","共通攻撃【ドスン着地】_攻撃防具","0","0","0","0","202","0","9","0","0","0"
"403","","共通攻撃【転倒着地】_攻撃防具","0","0","0","0","203","0","9","0","0","0"
"404","","共通攻撃【ローリング】_攻撃防具","0","0","0","0","204","0","5","0","0","0"
"405","","共通攻撃【召喚】_攻撃防具","0","0","0","0","205","0","5","0","0","0"
"406","","共通攻撃【仰向け落下】_攻撃防具","0","0","0","0","206","0","5","0","0","0"
"410","","共通攻撃【プッシュ】_攻撃防具","0","0","0","0","210","0","5","0","0","0"
"411","","共通攻撃【後へ吹っ飛ぶ】_攻撃防具","0","0","0","0","211","0","5","0","0","0"
"412","","共通攻撃【前に吹っ飛び】_攻撃防具","0","0","0","0","212","0","5","0","0","0"
"413","","共通攻撃【プッシュ後】_攻撃防具","0","0","0","0","213","0","5","0","0","0"
"420","","共通攻撃【投げ】_攻撃防具","0","0","0","0","220","0","5","0","0","0"
"421","","共通攻撃【強投げ】_攻撃防具","0","0","0","0","221","0","5","0","0","0"
"422","","共通攻撃【パリィ叩きつけ】_攻撃防具","0","0","0","0","222","0","5","0","0","0"
"442","","共通攻撃【ハシゴ_滑り降り】攻撃防具","0","0","0","0","44","0","5","0","0","0"
"500","","共通攻撃【落下】","0","0","0","0","300","0","9","0","0","0"
"501","","共通攻撃【着地】","0","0","0","0","301","0","9","0","0","0"
"502","","共通攻撃【ドスン着地】","0","0","0","0","302","0","9","0","0","0"
"503","","共通攻撃【転倒着地】","0","0","0","0","303","0","9","0","0","0"
"504","","共通攻撃【ローリング】","0","0","0","0","304","0","5","0","0","0"
"505","","共通攻撃【召喚】","0","0","0","0","305","0","5","0","0","0"
"506","","共通攻撃【仰向け落下】","0","0","0","0","306","0","5","0","0","0"
"510","","共通攻撃【プッシュ】","0","0","0","0","310","0","5","0","0","0"
"511","","共通攻撃【後へ吹っ飛ぶ】","0","0","0","0","311","0","5","0","0","0"
"512","","共通攻撃【前に吹っ飛び】","0","0","0","0","312","0","5","0","0","0"
"513","","共通攻撃【プッシュ後】","0","0","0","0","313","0","5","0","0","0"
"520","","共通攻撃【投げ】","0","0","0","0","320","0","5","0","0","0"
"521","","共通攻撃【強投げ】","0","0","0","0","321","0","5","0","0","0"
"522","","共通攻撃【パリィ叩きつけ】","0","0","0","0","322","0","5","0","0","0"
"530","","共通攻撃【ハシゴ_右パンチ】","0","0","0","0","40","0","5","20","0","0"
