Id	TranslatedName	Name	PhysicsAtkRate	MagicAtkRate	FireAtkRate	ThunderAtkRate	StaminaAtkRate	SaWeaponAtkRate	SaDurabilityRate	CorrectStrengthRate	CorrectAgilityRate	CorrectMagicRate	CorrectFaithRate	PhysicsGuardCutRate	MagicGuardCutRate	FireGuardCutRate	ThunderGuardCutRate	PoisonGuardResistRate	DiseaseGuardResistRate	BloodGuardResistRate	CurseGuardResistRate	StaminaGuardDefRate	SpEffectId1	SpEffectId2	SpEffectId3	ResidentSpEffectId1	ResidentSpEffectId2	ResidentSpEffectId3	MaterialSetId
0	Normal	??	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
1	Normal +1	???1	1.1	1	1	1	1.1	1	1	1.05	1.05	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
2	Normal +2	???2	1.2	1	1	1	1.2	1	1	1.05	1.05	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2
3	Normal +3	???3	1.3	1	1	1	1.3	1	1	1.05	1.05	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3
4	Normal +4	???4	1.4	1	1	1	1.4	1	1	1.05	1.05	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4
5	Normal +5	???5	1.5	1	1	1	1.5	1	1	1.05	1.05	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5
6	Normal +6	???6	1.6	1	1	1	1.6	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	6
7	Normal +7	???7	1.7	1	1	1	1.7	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	7
8	Normal +8	???8	1.8	1	1	1	1.8	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	8
9	Normal +9	???9	1.9	1	1	1	1.9	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	9
10	Normal +10	???10	2	1	1	1	2	1	1	1.1	1.1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	10
11	Normal +11	???11	2.1	1	1	1	2.1	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	11
12	Normal +12	???12	2.2	1	1	1	2.2	1	1	1.15	1.15	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	12
