"Id","Value"
"350000","Ul. Greatsword"
"350100","Ul. Greatsword"
"350200","Ul. Greatsword"
"350300","Ul. Greatsword"
"350400","Ul. Greatsword"
"350500","Ul. Greatsword"
"350600","Ul. Greatsword"
"350700","Ul. Greatsword"
"350800","Ul. Greatsword"
"350900","Ul. Greatsword"
"351000","Ul. Greatsword"
"351100","Ul. Greatsword"
"351200","Ul. Greatsword"
"351300","Ul. Greatsword"
"351400","Ul. Greatsword"
"351500","Ul. Greatsword"
"351600","Ul. Greatsword"
"351700","Ul. Greatsword"
"351800","Ul. Greatsword"
"351900","Ul. Greatsword"
"352000","Ul. Greatsword"
"352100","Ul. Greatsword"
"352200","Ul. Greatsword"
"352300","Ul. Greatsword"
"352400","Ul. Greatsword"
"352500","Ul. Greatsword"
"352600","Ul. Greatsword"
"352700","Ul. Greatsword"
"352800","Ul. Greatsword"
"352900","Ul. Greatsword"
"354000","Ul. Greatsword"
"355000","Ul. Greatsword"
"398000","Ul. Greatsword"
"450000","C. Greatsword"
"450100","C. Greatsword"
"450200","C. Greatsword"
"450300","C. Greatsword"
"450400","C. Greatsword"
"450500","C. Greatsword"
"450600","C. Greatsword"
"450700","C. Greatsword"
"450800","C. Greatsword"
"450900","C. Greatsword"
"451000","C. Greatsword"
"451100","C. Greatsword"
"451200","C. Greatsword"
"451300","C. Greatsword"
"451400","C. Greatsword"
"451500","C. Greatsword"
"451600","C. Greatsword"
"451700","C. Greatsword"
"451800","C. Greatsword"
"451900","C. Greatsword"
"453000","C. Greatsword"
"454000","C. Greatsword"
"1051900","Spear"
"1052900","Spear"
"1053000","Spear"
"1054000","Spear"
"1151800","Halberd"
"1304500","Catalyst"
"2007000","Great Arrow"
"2008000","Great Arrow"
"9010000","Curved Sword"
"9011000","Dagger"
"9012000","Greatsword"
"9012100","Greatsword"
"9012200","Greatsword"
"9012300","Greatsword"
"9012400","Greatsword"
"9012500","Greatsword"
"9012600","Greatsword"
"9012700","Greatsword"
"9012800","Greatsword"
"9012900","Greatsword"
"9013000","Greatsword"
"9013100","Greatsword"
"9013200","Greatsword"
"9013300","Greatsword"
"9013400","Greatsword"
"9013500","Greatsword"
"9013600","Greatsword"
"9013700","Greatsword"
"9014000","Greatshield"
"9015000","Greataxe"
"9016000","Spear"
"9016100","Spear"
"9016200","Spear"
"9016300","Spear"
"9016400","Spear"
"9016500","Spear"
"9016600","Spear"
"9016700","Spear"
"9016800","Spear"
"9016900","Spear"
"9017000","Catalyst"
"9017100","Catalyst"
"9017200","Catalyst"
"9017300","Catalyst"
"9017400","Catalyst"
"9017500","Catalyst"
"9018000","Catalyst"
"9019000","Whip"
"9019100","Whip"
"9019200","Whip"
"9019300","Whip"
"9019400","Whip"
"9019500","Whip"
"9019600","Whip"
"9019700","Whip"
"9019800","Whip"
"9019900","Whip"
"9020000","Greatsword"
"9021000","Greatbow"
