"Id","Value"
"100000","Weapon type: Dagger
Attack type: Slash/Thrust

This standard small dagger has only a modest
attack but can be jabbed in rapid succession,
and is effective in critical hits such as
after a parry or when stabbing in the back.
With both slash and thrust attacks, this
dagger is useful in various situations."
"100100","Weapon type: Dagger
Attack type: Slash/Thrust

This standard small dagger has only a modest
attack but can be jabbed in rapid succession,
and is effective in critical hits such as
after a parry or when stabbing in the back.
With both slash and thrust attacks, this
dagger is useful in various situations."
"100200","Weapon type: Dagger
Attack type: Slash/Thrust

This standard small dagger has only a modest
attack but can be jabbed in rapid succession,
and is effective in critical hits such as
after a parry or when stabbing in the back.
With both slash and thrust attacks, this
dagger is useful in various situations."
"100300","Weapon type: Dagger
Attack type: Slash/Thrust

This standard small dagger has only a modest
attack but can be jabbed in rapid succession,
and is effective in critical hits such as
after a parry or when stabbing in the back.
With both slash and thrust attacks, this
dagger is useful in various situations."
"100400","Weapon type: Dagger
Attack type: Slash/Thrust

This standard small dagger has only a modest
attack but can be jabbed in rapid succession,
and is effective in critical hits such as
after a parry or when stabbing in the back.
With both slash and thrust attacks, this
dagger is useful in various situations."
"100500","Weapon type: Dagger
Attack type: Slash/Thrust

This standard small dagger has only a modest
attack but can be jabbed in rapid succession,
and is effective in critical hits such as
after a parry or when stabbing in the back.
With both slash and thrust attacks, this
dagger is useful in various situations."
"100600","Weapon type: Dagger
Attack type: Slash/Thrust

This standard small dagger has only a modest
attack but can be jabbed in rapid succession,
and is effective in critical hits such as
after a parry or when stabbing in the back.
With both slash and thrust attacks, this
dagger is useful in various situations."
"100700","Weapon type: Dagger
Attack type: Slash/Thrust

This standard small dagger has only a modest
attack but can be jabbed in rapid succession,
and is effective in critical hits such as
after a parry or when stabbing in the back.
With both slash and thrust attacks, this
dagger is useful in various situations."
"100800","Weapon type: Dagger
Attack type: Slash/Thrust

This standard small dagger has only a modest
attack but can be jabbed in rapid succession,
and is effective in critical hits such as
after a parry or when stabbing in the back.
With both slash and thrust attacks, this
dagger is useful in various situations."
"100900","Weapon type: Dagger
Attack type: Slash/Thrust

This standard small dagger has only a modest
attack but can be jabbed in rapid succession,
and is effective in critical hits such as
after a parry or when stabbing in the back.
With both slash and thrust attacks, this
dagger is useful in various situations."
"101000","Weapon type: Dagger
Attack type: Slash/Thrust

This dagger is useful after parrying and is
normally equipped in the left hand.

A favorite of the knights of Carim, who are
famous for fighting without a shield."
"101100","Weapon type: Dagger
Attack type: Slash/Thrust

This dagger is useful after parrying and is
normally equipped in the left hand.

A favorite of the knights of Carim, who are
famous for fighting without a shield."
"101200","Weapon type: Dagger
Attack type: Slash/Thrust

This dagger is useful after parrying and is
normally equipped in the left hand.

A favorite of the knights of Carim, who are
famous for fighting without a shield."
"101300","Weapon type: Dagger
Attack type: Slash/Thrust

This dagger is useful after parrying and is
normally equipped in the left hand.

A favorite of the knights of Carim, who are
famous for fighting without a shield."
"101400","Weapon type: Dagger
Attack type: Slash/Thrust

This dagger is useful after parrying and is
normally equipped in the left hand.

A favorite of the knights of Carim, who are
famous for fighting without a shield."
"101500","Weapon type: Dagger
Attack type: Slash/Thrust

This dagger is useful after parrying and is
normally equipped in the left hand.

A favorite of the knights of Carim, who are
famous for fighting without a shield."
"101600","Weapon type: Dagger
Attack type: Slash/Thrust

This dagger is useful after parrying and is
normally equipped in the left hand.

A favorite of the knights of Carim, who are
famous for fighting without a shield."
"101700","Weapon type: Dagger
Attack type: Slash/Thrust

This dagger is useful after parrying and is
normally equipped in the left hand.

A favorite of the knights of Carim, who are
famous for fighting without a shield."
"101800","Weapon type: Dagger
Attack type: Slash/Thrust

This dagger is useful after parrying and is
normally equipped in the left hand.

A favorite of the knights of Carim, who are
famous for fighting without a shield."
"101900","Weapon type: Dagger
Attack type: Slash/Thrust

This dagger is useful after parrying and is
normally equipped in the left hand.

A favorite of the knights of Carim, who are
famous for fighting without a shield."
"102000","Weapon type: Dagger
Attack type: Slash/Thrust

The ghosts of New Londo clutch this wickedly
sharp dagger with their bony hands and make
mincemeat of the living.

One of the cursed weapons which can inflict
damage upon ghosts.

"
"103000","Weapon type: Dagger
Attack type: Slash

This wide single-edged shortsword is
the favorite of lowly thieves and bandits.

Primarily a slicing weapon, but highly
effective when used for critical hits,
such as after parrying or from behind."
