"Id","Value"
"1053000","Moonlight Butterfly Horn"
"1053001","Moonlight Butterfly Horn+1"
"1053002","Moonlight Butterfly Horn+2"
"1053003","Moonlight Butterfly Horn+3"
"1053004","Moonlight Butterfly Horn+4"
"1053005","Moonlight Butterfly Horn+5"
"1054000","Dragonslayer Spear"
"1054001","Dragonslayer Spear+1"
"1054002","Dragonslayer Spear+2"
"1054003","Dragonslayer Spear+3"
"1054004","Dragonslayer Spear+4"
"1054005","Dragonslayer Spear+5"
"1151800","Lifehunt Scythe"
"1151801","Lifehunt Scythe+1"
"1151802","Lifehunt Scythe+2"
"1151803","Lifehunt Scythe+3"
"1151804","Lifehunt Scythe+4"
"1151805","Lifehunt Scythe+5"
"1304500","Tin Darkmoon Catalyst"
"2008000","Gough's Great Arrow"
"9010000","Gold Tracer"
"9010001","Gold Tracer+1"
"9010002","Gold Tracer+2"
"9010003","Gold Tracer+3"
"9010004","Gold Tracer+4"
"9010005","Gold Tracer+5"
"9011000","Dark Silver Tracer"
"9011001","Dark Silver Tracer+1"
"9011002","Dark Silver Tracer+2"
"9011003","Dark Silver Tracer+3"
"9011004","Dark Silver Tracer+4"
"9011005","Dark Silver Tracer+5"
"9012000","Abyss Greatsword"
"9012001","Abyss Greatsword+1"
"9012002","Abyss Greatsword+2"
"9012003","Abyss Greatsword+3"
"9012004","Abyss Greatsword+4"
"9012005","Abyss Greatsword+5"
"9012100","Abyss Greatsword"
"9012101","Abyss Greatsword+1"
"9012102","Abyss Greatsword+2"
"9012103","Abyss Greatsword+3"
"9012104","Abyss Greatsword+4"
"9012105","Abyss Greatsword+5"
"9012200","Abyss Greatsword"
"9012201","Abyss Greatsword+1"
"9012202","Abyss Greatsword+2"
"9012203","Abyss Greatsword+3"
"9012204","Abyss Greatsword+4"
"9012205","Abyss Greatsword+5"
"9012300","Abyss Greatsword"
"9012301","Abyss Greatsword+1"
"9012302","Abyss Greatsword+2"
"9012303","Abyss Greatsword+3"
"9012304","Abyss Greatsword+4"
"9012305","Abyss Greatsword+5"
"9012400","Abyss Greatsword"
"9012401","Abyss Greatsword+1"
"9012402","Abyss Greatsword+2"
"9012403","Abyss Greatsword+3"
"9012404","Abyss Greatsword+4"
"9012405","Abyss Greatsword+5"
"9012500","Abyss Greatsword"
"9012501","Abyss Greatsword+1"
"9012502","Abyss Greatsword+2"
"9012503","Abyss Greatsword+3"
"9012504","Abyss Greatsword+4"
"9012505","Abyss Greatsword+5"
"9012600","Abyss Greatsword"
"9012601","Abyss Greatsword+1"
"9012602","Abyss Greatsword+2"
"9012603","Abyss Greatsword+3"
"9012604","Abyss Greatsword+4"
"9012605","Abyss Greatsword+5"
"9012700","Abyss Greatsword"
"9012701","Abyss Greatsword+1"
"9012702","Abyss Greatsword+2"
"9012703","Abyss Greatsword+3"
"9012704","Abyss Greatsword+4"
"9012705","Abyss Greatsword+5"
"9012800","Abyss Greatsword"
"9012801","Abyss Greatsword+1"
"9012802","Abyss Greatsword+2"
"9012803","Abyss Greatsword+3"
"9012804","Abyss Greatsword+4"
"9012805","Abyss Greatsword+5"
"9012900","Abyss Greatsword"
"9012901","Abyss Greatsword+1"
"9012902","Abyss Greatsword+2"
"9012903","Abyss Greatsword+3"
"9012904","Abyss Greatsword+4"
"9012905","Abyss Greatsword+5"
"9013000","Abyss Greatsword"
"9013001","Abyss Greatsword+1"
"9013002","Abyss Greatsword+2"
"9013003","Abyss Greatsword+3"
"9013004","Abyss Greatsword+4"
"9013005","Abyss Greatsword+5"
"9013100","Abyss Greatsword"
"9013101","Abyss Greatsword+1"
"9013102","Abyss Greatsword+2"
"9013103","Abyss Greatsword+3"
"9013104","Abyss Greatsword+4"
"9013105","Abyss Greatsword+5"
"9013200","Abyss Greatsword"
"9013201","Abyss Greatsword+1"
"9013202","Abyss Greatsword+2"
"9013203","Abyss Greatsword+3"
"9013204","Abyss Greatsword+4"
"9013205","Abyss Greatsword+5"
"9013300","Abyss Greatsword"
"9013301","Abyss Greatsword+1"
"9013302","Abyss Greatsword+2"
"9013303","Abyss Greatsword+3"
"9013304","Abyss Greatsword+4"
"9013305","Abyss Greatsword+5"
"9013400","Abyss Greatsword"
"9013401","Abyss Greatsword+1"
"9013402","Abyss Greatsword+2"
"9013403","Abyss Greatsword+3"
"9013404","Abyss Greatsword+4"
"9013405","Abyss Greatsword+5"
"9013500","Abyss Greatsword"
"9013501","Abyss Greatsword+1"
"9013502","Abyss Greatsword+2"
"9013503","Abyss Greatsword+3"
"9013504","Abyss Greatsword+4"
"9013505","Abyss Greatsword+5"
"9013600","Abyss Greatsword"
"9013601","Abyss Greatsword+1"
"9013602","Abyss Greatsword+2"
"9013603","Abyss Greatsword+3"
"9013604","Abyss Greatsword+4"
"9013605","Abyss Greatsword+5"
"9013700","Abyss Greatsword"
"9013701","Abyss Greatsword+1"
"9013702","Abyss Greatsword+2"
"9013703","Abyss Greatsword+3"
"9013704","Abyss Greatsword+4"
"9013705","Abyss Greatsword+5"
"9014000","Cleansing Greatshield"
"9014001","Cleansing Greatshield+1"
"9014002","Cleansing Greatshield+2"
"9014003","Cleansing Greatshield+3"
"9014004","Cleansing Greatshield+4"
"9014005","Cleansing Greatshield+5"
"9015000","Stone Greataxe"
"9015001","Stone Greataxe+1"
"9015002","Stone Greataxe+2"
"9015003","Stone Greataxe+3"
"9015004","Stone Greataxe+4"
"9015005","Stone Greataxe+5"
"9016000","Four-pronged Plow"
"9016001","Four-pronged Plow+1"
"9016002","Four-pronged Plow+2"
"9016003","Four-pronged Plow+3"
"9016004","Four-pronged Plow+4"
"9016005","Four-pronged Plow+5"
"9016006","Four-pronged Plow+6"
"9016007","Four-pronged Plow+7"
"9016008","Four-pronged Plow+8"
"9016009","Four-pronged Plow+9"
"9016010","Four-pronged Plow+10"
"9016011","Four-pronged Plow+11"
"9016012","Four-pronged Plow+12"
"9016013","Four-pronged Plow+13"
"9016014","Four-pronged Plow+14"
"9016015","Four-pronged Plow+15"
"9016100","Crystal Plow"
"9016101","Crystal Plow+1"
"9016102","Crystal Plow+2"
"9016103","Crystal Plow+3"
"9016104","Crystal Plow+4"
"9016105","Crystal Plow+5"
"9016200","Lightning Plow"
"9016201","Lightning Plow+1"
"9016202","Lightning Plow+2"
"9016203","Lightning Plow+3"
"9016204","Lightning Plow+4"
"9016205","Lightning Plow+5"
"9016300","Raw Plow"
"9016301","Raw Plow+1"
"9016302","Raw Plow+2"
"9016303","Raw Plow+3"
"9016304","Raw Plow+4"
"9016305","Raw Plow+5"
"9016400","Magic Plow"
"9016401","Magic Plow+1"
"9016402","Magic Plow+2"
"9016403","Magic Plow+3"
"9016404","Magic Plow+4"
"9016405","Magic Plow+5"
"9016406","Magic Plow+6"
"9016407","Magic Plow+7"
"9016408","Magic Plow+8"
"9016409","Magic Plow+9"
"9016410","Magic Plow+10"
"9016500","Enchanted Plow"
"9016501","Enchanted Plow+1"
"9016502","Enchanted Plow+2"
"9016503","Enchanted Plow+3"
"9016504","Enchanted Plow+4"
"9016505","Enchanted Plow+5"
"9016600","Divine Plow"
"9016601","Divine Plow+1"
"9016602","Divine Plow+2"
"9016603","Divine Plow+3"
"9016604","Divine Plow+4"
"9016605","Divine Plow+5"
"9016606","Divine Plow+6"
"9016607","Divine Plow+7"
"9016608","Divine Plow+8"
"9016609","Divine Plow+9"
"9016610","Divine Plow+10"
"9016700","Occult Plow"
"9016701","Occult Plow+1"
"9016702","Occult Plow+2"
"9016703","Occult Plow+3"
"9016704","Occult Plow+4"
"9016705","Occult Plow+5"
"9016800","Fire Plow"
"9016801","Fire Plow+1"
"9016802","Fire Plow+2"
"9016803","Fire Plow+3"
"9016804","Fire Plow+4"
"9016805","Fire Plow+5"
"9016806","Fire Plow+6"
"9016807","Fire Plow+7"
"9016808","Fire Plow+8"
"9016809","Fire Plow+9"
"9016810","Fire Plow+10"
"9016900","Chaos Plow"
"9016901","Chaos Plow+1"
"9016902","Chaos Plow+2"
"9016903","Chaos Plow+3"
"9016904","Chaos Plow+4"
"9016905","Chaos Plow+5"
"9017000","Manus Catalyst"
"9017100","Manus Catalyst"
"9017200","Manus Catalyst"
"9017300","Manus Catalyst"
"9017400","Manus Catalyst"
"9017500","Manus Catalyst"
"9018000","Oolacile Catalyst"
"9019000","Guardian Tail"
"9019001","Guardian Tail+1"
"9019002","Guardian Tail+2"
"9019003","Guardian Tail+3"
"9019004","Guardian Tail+4"
"9019005","Guardian Tail+5"
"9019006","Guardian Tail+6"
"9019007","Guardian Tail+7"
"9019008","Guardian Tail+8"
"9019009","Guardian Tail+9"
"9019010","Guardian Tail+10"
"9019011","Guardian Tail+11"
"9019012","Guardian Tail+12"
"9019013","Guardian Tail+13"
"9019014","Guardian Tail+14"
