OldSortId,FixPrice,EquipModelId,WanderingEquipId,DurabilityMax,EnglishDescription,EnglishName,Durability,EnglishType,BasicPrice,Weight,VagrantItemEneDropItemLotId,Id,Name,TranslatedName,VagrantBonusEneDropItemLotId,SellValue,SortId,VagrantItemLotId,EquipModelCategory,EquipModelGender,BehaviorVariationId,WeaponCategory,SpAtkcategory,MotionCategory,GuardmotionCategory,WepmotionOneHandId,WepmotionBothHandId,IsDurabilityDivergence,RightHandEquipable,LeftHandEquipable,BothHandEquipable,ArrowSlotEquipable,BoltSlotEquipable,EnableGuard,EnableParry,EnableMagic,EnableSorcery,EnableMiracle,EnableVowMagic,LanternWep,IsVersusGhostWep,SpAttribute,IsDragonSlayer,IsDarkHand,DisableMultiDropShare,SimpleModelForDlc,AtkMaterial,DefMaterial,DefSfxMaterial,IconId,IsNormalAttackType,IsBlowAttackType,IsSlashAttackType,IsThrustAttackType,WeaponWeightRate,IsEnhance,ProperStrength,ProperAgility,ProperMagic,ProperFaith,OverStrength,AttackThrowEscape,ParryDamageLife,AttackBaseParry,DefenseBaseParry,GuardBaseRepel,AttackBaseRepel,IsDeposit,SlashGuardCutRate,BlowGuardCutRate,ThrustGuardCutRate,IsLuckCorrect,GuardCutCancelRate,GuardAngle,GuardLevel,AttackBasePhysics,AttackBaseMagic,AttackBaseFire,AttackBaseThunder,AttackBaseStamina,SaWeaponDamage,SaDurability,CorrectStrength,CorrectAgility,CorrectMagic,CorrectFaith,PhysGuardCutRate,MagGuardCutRate,FireGuardCutRate,ThunGuardCutRate,PoisonGuardResist,DiseaseGuardResist,BloodGuardResist,CurseGuardResist,StaminaGuardDef,SpEffectBehaviorId0,SpEffectBehaviorId1,SpEffectBehaviorId2,ResidentSpEffectId,ResidentSpEffectId1,ResidentSpEffectId2,ReinforceTypeId,CorrectType,MaterialSetId,BaseChangeCategory,OriginEquipWep2,OriginEquipWep1,OriginEquipWep6,OriginEquipWep7,OriginEquipWep,OriginEquipWep3,OriginEquipWep5,OriginEquipWep13,OriginEquipWep14,OriginEquipWep4,OriginEquipWep15,OriginEquipWep11,OriginEquipWep10,OriginEquipWep9,OriginEquipWep8,OriginEquipWep12,TrophySGradeId,TrophySeqId,AntiDemonDamageRate,AntSaintDamageRate,AntWeakA_DamageRate,AntWeakB_DamageRate,ThrowAtkRate,BowDistRate,IsCustom,DisableBaseChangeReset,DisableRepair,
5011,0,2025,2099000,0,,Arrow,0,,0,0,-1,2099000,徘徊矢筒,,-1,5,5011,-1,7,0,1000,Arrow,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,99,1,10,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1,FALSE,FALSE,FALSE,
192,320,271,299000,160,"Weapon type: Straight Sword\nAttack type: Regular/Thrust\n\nStraight sword of an unknown knight,\nlikely one of Astora's superiors.\n\nHigh-quality weapon with a powerful blessing.",Astora's Straight Sword,160,Straight Sword,2000,3,101320,209000,オスカルの直剣,,101310,100,192,101300,7,0,2300,Sword,0,Sword,2,0,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,159,TRUE,FALSE,FALSE,TRUE,0,FALSE,10,10,0,14,99,1,10,0,0,10,20,TRUE,0,0,0,FALSE,0,0,2,80,80,0,0,25,20,0,51,51,0,51,50,10,35,35,40,40,40,38,32,-1,-1,-1,-1,-1,-1,1200,0,1200,45,209000,209000,-1,-1,209000,209000,209000,-1,-1,209000,-1,-1,-1,-1,-1,-1,271,-1,1,1.2,1,1,0,-1,TRUE,FALSE,FALSE,
1931,300,1405,1299000,150,"Weapon type: Crossbow\nAttack type: none\n\nRepeating crossbow cherished by the weapon\ncraftsman Eidas. Its elaborate design makes\nit closer to a work of art than a weapon.\nIntricate mechanism makes heavy damage\npossible through triple-shot firing of bolts,\nbut in fact each bolt inflicts less damage.",Avelyn,150,Crossbow,200,6,100720,1252000,三連クロスボウ,,100710,50,1931,100700,7,0,4600,Crossbow,84,46,2,0,16,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,99,FALSE,FALSE,FALSE,FALSE,0,FALSE,16,14,0,0,99,1,10,0,0,10,1,TRUE,0,0,0,FALSE,0,0,1,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,8000,0,0,0,1252000,1252000,1252005,1252005,1252000,1252000,1252000,1252010,1252010,1252000,1252010,1252010,1252005,1252005,1252005,1252010,-1,16,1,1,1,1,0,0,TRUE,FALSE,FALSE,
2383,440,1504,1499000,220,"Weapon type: Shield\nAttack type: Strike\n\nShield of the knights of the ancient kingdom\nof Balder. Tweaked for improved stability.\nBalder was the home of Knight King Rendal,\nbut the kingdom was reduced to ruins after\na widespread outbreak of Undead.",Balder Shield,220,Shield,200,4,100720,1455000,ロングシールド,,100710,50,2383,100700,7,0,4800,Shield,0,48,0,0,15,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,54,50,153,FALSE,TRUE,FALSE,FALSE,1,FALSE,12,0,0,0,99,1,10,0,0,50,20,TRUE,0,0,0,FALSE,0,0,4,66,0,0,0,25,20,0,31,0,0,0,100,20,60,50,80,80,90,50,63,-1,-1,-1,-1,-1,-1,5000,0,0,0,1455000,1455000,1455005,1455005,1455000,1455000,1455000,1455010,1455010,1455000,1455010,1455010,1455005,1455005,1455005,1455010,-1,16,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
131,240,202,299000,120,"Weapon type: Straight Sword\nAttack type: Regular/Thrust\n\nThe knights of the ancient kingdom of Balder\nwielded these rock-solid, long swords which\nare excellent for thrust attacks.\nBalder was the home of Knight King Rendal,\nbut the kingdom was reduced to ruins after\na widespread outbreak of Undead.",Balder Side Sword,120,Straight Sword,200,3,100720,204000,刺突直剣,,100710,50,131,100700,7,0,2302,Sword,54,Sword,2,0,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,10,TRUE,FALSE,FALSE,TRUE,0,TRUE,10,14,0,0,99,1,10,0,0,10,20,TRUE,0,0,0,FALSE,0,0,2,80,0,0,0,20,20,0,13,85,0,0,50,10,35,35,40,40,40,38,32,-1,-1,-1,-1,-1,-1,0,0,0,0,204000,204000,204005,204005,204000,204000,204000,204010,204010,204000,204010,204010,204005,204005,204005,204010,-1,16,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
21,400,101,199000,200,"Weapon type: Dagger\nAttack type: Slash\n\nThis wide single-edged shortsword is\nthe favorite of lowly thieves and bandits.\n\nPrimarily a slicing weapon, but highly\neffective when used for critical hits,\nsuch as after parrying or from behind.",Bandit's Knife,200,Dagger,100,1,100720,103000,短刀,,100710,50,21,100700,7,0,2001,Dagger,72,Dagger,2,0,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,4,FALSE,FALSE,TRUE,FALSE,1,TRUE,6,12,0,0,99,1,10,0,0,10,20,TRUE,0,0,0,FALSE,0,0,1,56,0,0,0,10,5,0,13,85,0,0,45,10,30,30,40,40,40,30,26,6400,-1,-1,-1,-1,-1,0,0,0,0,103000,103000,103005,103005,103000,103000,103000,103010,103010,103000,103010,103010,103005,103005,103005,103010,-1,16,1,1,1,1,47,-1,TRUE,FALSE,FALSE,
171,320,264,299000,160,"Weapon type: Straight Sword\nAttack type: Thrust\n\nThe choice weapon of the infamous Darkwraith\nKirk, also known as the Knight of Thorns for\nthe gnarly spikes on his favorite weapon.\n\nThis frightful sword deals only thrust\nattacks, and causes heavy bleeding.",Barbed Straight Sword,160,Straight Sword,200,3,100720,207000,トゲの直剣,,100710,50,171,100700,7,0,2301,Sword,53,Sword,2,0,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,13,TRUE,FALSE,FALSE,TRUE,0,TRUE,10,10,0,0,99,1,10,0,0,10,20,TRUE,0,0,0,FALSE,0,0,2,80,0,0,0,25,20,0,38,50,0,0,50,10,35,35,40,40,40,38,32,6401,-1,-1,-1,-1,-1,0,0,0,0,207000,207000,207005,207005,207000,207000,207000,207010,207010,207000,207010,207010,207005,207005,207005,207010,-1,16,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
301,400,206,398000,200,Weapon type: Greatsword\nAttack type: Regular\n\nThis standard greatsword is normally wielded\nwith two hands due to its great weight.\n\nUsually swung in large arcs and effective\nagainst multiple foes. Far from ideal when\nfighting in tight quarters.,Bastard Sword,200,Greatsword,400,6,100720,300000,バスタードソード,,100710,50,301,100700,7,0,2500,Sword,0,Claymore,2,2,12,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,18,TRUE,FALSE,FALSE,FALSE,0,TRUE,16,10,0,0,99,1,10,0,0,10,40,TRUE,0,0,0,FALSE,0,0,3,105,0,0,0,30,35,0,51,51,0,0,60,10,40,40,40,40,40,46,38,-1,-1,-1,-1,-1,-1,0,0,0,0,300000,300000,300005,300005,300000,300000,300000,300010,300010,300000,300010,300010,300005,300005,300005,300010,-1,16,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
1011,500,505,798000,250,"Weapon type: Axe\nAttack type: Regular\n\nStandard battle axe. Inflicts regular damage,\nmaking it effective in various situations.\nPowerful attack due to its weight, but one\nwrong swing leaves the wielder wide open,\nso timing and proximity to the enemy must\nbe judged carefully.",Battle Axe,250,Axe,200,4,100720,701000,バトルアクス,,100710,50,1011,100700,7,0,3000,Axe,0,Axe,2,0,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,50,50,52,TRUE,FALSE,FALSE,FALSE,0,TRUE,12,8,0,0,99,1,10,0,0,10,40,TRUE,0,0,0,FALSE,0,0,2,95,0,0,0,30,35,0,60,30,0,0,55,10,40,40,40,40,40,42,36,-1,-1,-1,-1,-1,-1,0,0,0,0,701000,701000,701005,701005,701000,701000,701000,701010,701010,701000,701010,701010,701005,701005,701005,701010,-1,16,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
2002,180,912,1397000,90,"Weapon type: Catalyst\nAttack type: Strike\n\nCatalyst belonging to Beatrice, the rogue\nwitch. Contrasts with Vinheim catalysts.\n\nThis ancient catalyst shows signs of being\nused for age-old sorceries. It has passed\nthe hands of many generations to get here.",Beatrice's Catalyst,90,Catalyst,200,2,-1,1301000,魔女の杖,,-1,50,2002,-1,7,0,4101,Magic,0,41,2,0,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,2,52,52,102,FALSE,TRUE,FALSE,FALSE,0,FALSE,6,0,10,0,99,1,10,0,0,10,20,TRUE,0,0,0,FALSE,0,0,1,40,0,0,0,10,5,0,10,0,140,0,26,8,20,20,26,26,26,20,16,-1,-1,-1,-1,-1,-1,0,14,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1,TRUE,FALSE,FALSE,
