Id,TranslatedName,Name,IconId,StateInfo,SpCategory,CategoryPriority,SaveCategory,EffectTargetSelf,EffectTargetFriend,EffectTargetEnemy,EffectTargetPlayer,EffectTargetAI,EffectTargetLive,EffectTargetGhost,EffectTargetWhiteGhost,EffectTargetBlackGhost,EffectTargetAttacker,DispIconNonactive,UseSpEffectEffect,BAdjustMagicAblity,BAdjustFaithAblity,BGameClearBonus,ConditionHp,EffectEndurance,MotionInterval,MaxHpRate,MaxMpRate,MaxStaminaRate,WepParamChange,MagParamChange,MiracleParamChange,ClearSoul,DmgLv_None,DmgLv_Min,DmgLv_S,DmgLv_M,DmgLv_L,DmgLv_BlowS,DmgLv_BlowM,DmgLv_Strike,DmgLv_Uppercut,DmgLv_Push,DmgLv_BlowLL,DmgLv_Breath,AtkAttribute,SpAttribute,DefFlickPower,FlickDamageCutRate,GuardDefFlickPowerRate,SlashDamageCutRate,BlowDamageCutRate,ThrustDamageCutRate,NeutralDamageCutRate,MagicDamageCutRate,FireDamageCutRate,ThunderDamageCutRate,PhysicsAttackRate,MagicAttackRate,FireAttackRate,ThunderAttackRate,PhysicsAttackPowerRate,MagicAttackPowerRate,FireAttackPowerRate,ThunderAttackPowerRate,PhysicsAttackPower,MagicAttackPower,FireAttackPower,ThunderAttackPower,PhysicsDiffenceRate,MagicDiffenceRate,FireDiffenceRate,ThunderDiffenceRate,PhysicsDiffence,MagicDiffence,FireDiffence,ThunderDiffence,NoGuardDamageRate,VitalSpotChangeRate,NormalSpotChangeRate,MaxHpChangeRate,BehaviorId,ChangeHpRate,ChangeHpPoint,ChangeMpRate,ChangeMpPoint,MpRecoverChangeSpeed,ChangeStaminaRate,ChangeStaminaPoint,StaminaRecoverChangeSpeed,ChangeSuperArmorPoint,MagicEffectTimeChange,InsideDurability,MaxDurability,StaminaAttackRate,GuardStaminaCutRate,BowDistRate,PoizonAttackPower,RegistIllness,RegistBlood,RegistCurse,FallDamageRate,SoulRate,EquipWeightChangeRate,AllItemWeightChangeRate,Soul,HaveSoulRate,TargetPriority,SightSearchEnemyCut,HearingSearchEnemyCut,RequestSOS,RequestBlackSOS,RequestForceJoinBlackSOS,RequestKickSession,RequestLeaveSession,RequestLeaveColiseumSession,RequestNpcInveda,NoDead,BCurrHPIndependeMaxHP,ChangeMagicSlot,ChangeMiracleSlot,MoveType,GrabityRate,RegistPoizonChangeRate,RegistIllnessChangeRate,RegistBloodChangeRate,RegistCurseChangeRate,BloodDamageRate,SoulStealRate,CorrosionIgnore,SightSearchCutIgnore,HearingSearchCutIgnore,AntiMagicIgnore,FakeTargetIgnore,FakeTargetIgnoreUndead,FakeTargetIgnoreAnimal,GrabityIgnore,LifeReductionType,LifeReductionRate,HpRecoverRate,DisablePoison,DisableDisease,DisableBlood,DisableCurse,EnableCharm,EnableLifeTime,IsExtendSpEffectLife,RayCastPassedTime,HasTarget,IsFireDamageCancel,ThrowCondition,ReplaceSpEffectId,CycleOccurrenceSpEffectId,AtkOccurrenceSpEffectId,AnimIdOffset,HeroPointDamage,AddBehaviorJudgeId_condition,AddBehaviorJudgeId_add,VowType0,VowType1,VowType2,VowType3,VowType4,VowType5,VowType6,VowType7,VowType8,VowType9,VowType10,VowType11,VowType12,VowType13,VowType14,VowType15
0,Test,テスト用,-1,0,0,0,-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,0,False,False,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Pledge effect test,誓約効果テスト,5013,52,10,0,-1,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,-1,-1,1,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,-10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True
2,test_enchantweapon,test_enchantweapon,-1,0,0,0,-1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,30,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,test_cure,test_cure,-1,0,0,0,-1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,-100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,[System] SOSsign,【システム】SOSsign,-1,0,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,True,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,test_cureitem,test_cureitem,-1,0,0,0,-1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,-25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,[System] kickout,【システム】kickout,-1,0,0,0,-1,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,True,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,[System] leaveSession,【システム】leaveSession,-1,0,0,0,-1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,-1,0,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,True,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,[System] parameter change at the time of ghost,【システム】ゴースト時のパラメータ変化,-1,31,0,0,-1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,-1,-1,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,[System] parameter change at the time of black,【システム】ブラック時のパラメータ変化,-1,0,0,0,-1,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,-1,-1,0,1,1,1,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,0,0,0,1,1,1,1,1,100,1,False,False,False,False,False,False,False,False,0,1,1,False,False,False,False,False,False,False,-1,False,False,0,-1,-1,-1,0,0,-1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
