"OldSortId","FixPrice","EquipModelId","WanderingEquipId","DurabilityMax","EnglishDescription","EnglishName","Durability","EnglishType","BasicPrice","Weight","VagrantItemEneDropItemLotId","Id","Name","TranslatedName","VagrantBonusEneDropItemLotId","SellValue","SortId","VagrantItemLotId","EquipModelCategory","EquipModelGender","BehaviorVariationId","WeaponCategory","SpAtkcategory","MotionCategory","GuardmotionCategory","WepmotionOneHandId","WepmotionBothHandId","IsDurabilityDivergence","RightHandEquipable","LeftHandEquipable","BothHandEquipable","ArrowSlotEquipable","BoltSlotEquipable","EnableGuard","EnableParry","EnableMagic","EnableSorcery","EnableMiracle","EnableVowMagic","LanternWep","IsVersusGhostWep","SpAttribute","IsDragonSlayer","IsDarkHand","DisableMultiDropShare","SimpleModelForDlc","AtkMaterial","DefMaterial","DefSfxMaterial","IconId","IsNormalAttackType","IsBlowAttackType","IsSlashAttackType","IsThrustAttackType","WeaponWeightRate","IsEnhance","ProperStrength","ProperAgility","ProperMagic","ProperFaith","OverStrength","AttackThrowEscape","ParryDamageLife","AttackBaseParry","DefenseBaseParry","GuardBaseRepel","AttackBaseRepel","IsDeposit","SlashGuardCutRate","BlowGuardCutRate","ThrustGuardCutRate","IsLuckCorrect","GuardCutCancelRate","GuardAngle","GuardLevel","AttackBasePhysics","AttackBaseMagic","AttackBaseFire","AttackBaseThunder","AttackBaseStamina","SaWeaponDamage","SaDurability","CorrectStrength","CorrectAgility","CorrectMagic","CorrectFaith","PhysGuardCutRate","MagGuardCutRate","FireGuardCutRate","ThunGuardCutRate","PoisonGuardResist","DiseaseGuardResist","BloodGuardResist","CurseGuardResist","StaminaGuardDef","SpEffectBehaviorId0","SpEffectBehaviorId1","SpEffectBehaviorId2","ResidentSpEffectId","ResidentSpEffectId1","ResidentSpEffectId2","ReinforceTypeId","CorrectType","MaterialSetId","BaseChangeCategory","OriginEquipWep2","OriginEquipWep1","OriginEquipWep6","OriginEquipWep7","OriginEquipWep","OriginEquipWep3","OriginEquipWep5","OriginEquipWep13","OriginEquipWep14","OriginEquipWep4","OriginEquipWep15","OriginEquipWep11","OriginEquipWep10","OriginEquipWep9","OriginEquipWep8","OriginEquipWep12","TrophySGradeId","TrophySeqId","AntiDemonDamageRate","AntSaintDamageRate","AntWeakA_DamageRate","AntWeakB_DamageRate","ThrowAtkRate","BowDistRate","IsCustom","DisableBaseChangeReset","DisableRepair"
"1","400","100","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis standard small dagger has only a modest\nattack but can be jabbed in rapid succession,\nand is effective in critical hits such as\nafter a parry or when stabbing in the back.\nWith both slash and thrust attacks, this\ndagger is useful in various situations.","Dagger","200","Dagger","100","0.5","100720","100000","ダガー","","100710","50","1","100700","7","0","2000","Dagger","0","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","1","False","False","True","True","0","True","5","8","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","56","0","0","0","10","5","0","13","85","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","0","0","0","0","100000","100000","100005","100005","100000","100000","100000","100010","100010","100000","100010","100010","100005","100005","100005","100010","-1","16","1","1","1","1","31","-1","True","False","False"
"2","400","100","199000","20","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis standard small dagger has only a modest\nattack but can be jabbed in rapid succession,\nand is effective in critical hits such as\nafter a parry or when stabbing in the back.\nWith both slash and thrust attacks, this\ndagger is useful in various situations.","Crystal Dagger","20","Dagger","100","0.5","100720","100100","結晶のダガー","","100710","1","2","100700","7","0","2000","Dagger","0","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","1","False","False","True","True","0","True","5","8","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","56","0","0","0","10","5","0","13","85","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","100","0","100","5","100010","100010","-1","-1","100010","100010","100010","-1","-1","100010","-1","-1","-1","-1","-1","-1","-1","17","1","1","1","1","31","-1","True","True","True"
"3","400","100","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis standard small dagger has only a modest\nattack but can be jabbed in rapid succession,\nand is effective in critical hits such as\nafter a parry or when stabbing in the back.\nWith both slash and thrust attacks, this\ndagger is useful in various situations.","Lightning Dagger","200","Dagger","100","0.5","100720","100200","雷のダガー","","100710","500","3","100700","7","0","2000","Dagger","0","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","6","False","False","False","False","0","50","50","1","False","False","True","True","0","False","5","8","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","56","0","0","56","10","5","0","0","0","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","200","0","200","10","100010","100010","-1","-1","100010","100010","100010","-1","-1","100010","-1","-1","-1","-1","-1","-1","-1","18","1","1","1","1","31","-1","True","False","False"
"4","400","100","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis standard small dagger has only a modest\nattack but can be jabbed in rapid succession,\nand is effective in critical hits such as\nafter a parry or when stabbing in the back.\nWith both slash and thrust attacks, this\ndagger is useful in various situations.","Raw Dagger","200","Dagger","100","0.5","-1","100300","粗製のダガー","","-1","50","4","-1","7","0","2000","Dagger","0","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","1","False","False","True","True","0","True","5","8","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","64","0","0","0","10","5","0","10","64","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","300","0","300","15","100005","100005","-1","-1","100005","100005","100005","-1","-1","100005","-1","-1","-1","-1","-1","-1","-1","19","1","1","1","1","31","-1","True","False","False"
"5","400","100","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis standard small dagger has only a modest\nattack but can be jabbed in rapid succession,\nand is effective in critical hits such as\nafter a parry or when stabbing in the back.\nWith both slash and thrust attacks, this\ndagger is useful in various situations.","Magic Dagger","200","Dagger","100","0.5","100820","100400","魔法Ａのダガー","","100810","50","5","100800","7","0","2000","Dagger","0","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","1","False","False","True","True","0","False","5","8","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","42","46","0","0","10","5","0","4","24","71","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","400","1","400","20","100005","100005","100405","100405","100005","100005","100005","-1","-1","100005","-1","-1","100405","100405","100405","-1","-1","20","1","1","1","1","31","-1","True","False","False"
"6","400","100","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis standard small dagger has only a modest\nattack but can be jabbed in rapid succession,\nand is effective in critical hits such as\nafter a parry or when stabbing in the back.\nWith both slash and thrust attacks, this\ndagger is useful in various situations.","Enchanted Dagger","200","Dagger","100","0.5","100820","100500","魔法Ｂのダガー","","100810","50","6","100800","7","0","2000","Dagger","0","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","1","False","False","True","True","0","False","5","8","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","42","45","0","0","10","5","0","3","17","69","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","500","1","500","22","100405","100405","-1","-1","100405","100405","100405","-1","-1","100405","-1","-1","-1","-1","-1","-1","-1","21","1","1","1","1","31","-1","True","False","False"
"7","400","100","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis standard small dagger has only a modest\nattack but can be jabbed in rapid succession,\nand is effective in critical hits such as\nafter a parry or when stabbing in the back.\nWith both slash and thrust attacks, this\ndagger is useful in various situations.","Divine Dagger","200","Dagger","100","0.5","100920","100600","神聖のダガー","","100910","100","7","100900","7","0","2000","Dagger","0","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","1","False","False","True","True","0","False","5","8","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","38","46","0","0","10","5","0","5","33","0","70","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","600","1","600","25","100005","100005","100605","100605","100005","100005","100005","-1","-1","100005","-1","-1","100605","100605","100605","-1","-1","22","1","1.1","1","1","31","-1","True","False","False"
"8","400","100","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis standard small dagger has only a modest\nattack but can be jabbed in rapid succession,\nand is effective in critical hits such as\nafter a parry or when stabbing in the back.\nWith both slash and thrust attacks, this\ndagger is useful in various situations.","Occult Dagger","200","Dagger","100","0.5","100920","100700","暗黒のダガー","","100910","100","8","100900","7","0","2000","Dagger","0","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","1","False","False","False","False","0","50","50","1","False","False","True","True","0","False","5","8","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","38","42","0","0","10","5","0","5","31","0","82","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","700","1","700","30","100605","100605","-1","-1","100605","100605","100605","-1","-1","100605","-1","-1","-1","-1","-1","-1","-1","23","1","1","1.1","1","31","-1","True","False","False"
"9","400","100","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis standard small dagger has only a modest\nattack but can be jabbed in rapid succession,\nand is effective in critical hits such as\nafter a parry or when stabbing in the back.\nWith both slash and thrust attacks, this\ndagger is useful in various situations.","Fire Dagger","200","Dagger","100","0.5","101020","100800","炎のダガー","","101010","50","9","101000","7","0","2000","Dagger","0","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","2","False","False","False","False","0","50","50","1","False","False","True","True","0","False","5","8","0","0","99","1","10","0","0","10","20","True","0","0","0","False","0","0","1","56","0","56","0","10","5","0","0","0","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","800","0","800","35","100005","100005","100805","100805","100005","100005","100005","-1","-1","100005","-1","-1","100805","100805","100805","-1","-1","24","1","1","1","1","31","-1","True","False","False"
"10","400","100","199000","200","Weapon type: Dagger\nAttack type: Slash/Thrust\n\nThis standard small dagger has only a modest\nattack but can be jabbed in rapid succession,\nand is effective in critical hits such as\nafter a parry or when stabbing in the back.\nWith both slash and thrust attacks, this\ndagger is useful in various situations.","Chaos Dagger","200","Dagger","100","0.5","101020","100900","混沌の炎のダガー","","101010","50","10","101000","7","0","2000","Dagger","0","Dagger","2","0","10","0","True","True","True","False","False","False","True","False","False","False","False","False","False","2","False","False","False","False","0","50","50","1","False","False","True","True","0","False","5","8","0","0","99","1","10","0","0","10","20","True","0","0","0","True","0","0","1","49","0","57","0","10","5","0","0","0","0","0","45","10","30","30","40","40","40","30","26","-1","-1","-1","-1","-1","-1","900","0","900","40","100805","100805","-1","-1","100805","100805","100805","-1","-1","100805","-1","-1","-1","-1","-1","-1","-1","25","1","1","1","1","31","-1","True","False","False"
